epsilon_progress,nfe
0,0
5,100
102,1197
264,2292
449,3390
609,4486
722,5582
833,6675
930,7768
1043,8857
1122,9952
1253,11088
1343,12224
1423,13358
1505,14492
1573,15617
1618,16751
1666,17883
1713,19010
1758,20140
1803,21265
1839,22385
1886,23508
1921,24638
1952,25761
2048,26882
2066,28005
2096,29132
2126,30261
2146,31384
2172,32517
2188,33652
2208,34774
2228,35910
2240,37041
2249,38173
2263,39304
2331,40435
2346,41564
2363,42698
2376,43836
2385,44965
2397,46094
2403,47222
2407,48356
2415,49489
2427,50620
