z_0_RfR_0,z_0_RfR_1,z_0_RfR_2,z_1_RfR_0,z_1_RfR_1,z_1_RfR_2,z_2_RfR_0,z_2_RfR_1,z_2_RfR_2,z_3_RfR_0,z_3_RfR_1,z_3_RfR_2,z_4_RfR_0,z_4_RfR_1,z_4_RfR_2,z_EWS_DaysToThreat,z_Az1_DikeIncrease_0,z_Az1_DikeIncrease_1,z_Az1_DikeIncrease_2,z_Az2_DikeIncrease_0,z_Az2_DikeIncrease_1,z_Az2_DikeIncrease_2,z_Az3_DikeIncrease_0,z_Az3_DikeIncrease_1,z_Az3_DikeIncrease_2,z_Az4_DikeIncrease_0,z_Az4_DikeIncrease_1,z_Az4_DikeIncrease_2,z_Az5_DikeIncrease_0,z_Az5_DikeIncrease_1,z_Az5_DikeIncrease_2,z_Dike_Investment_Costs,z_Evacuation_Costs,z_RfR_Investment_Costs,z_Expected_Number_of_Deaths,z_Az3_Expected_Annual_Damage,z_Az3_Expected_Number_of_Deaths
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,3,0,0,103715845.4344192,877.2290819958146,30700000.0,0.0100359413413077,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,1,0,0,2,0,0,106365713.96740808,844.1395756318358,0.0,0.0099949719754746,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,2,0,0,100942549.35969448,1164.5394221952974,30700000.0,0.0131781998647872,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,32724179.85197268,1843.93806701657,0.0,0.0237733192602086,0.0,0.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,58097062.72868286,991.4432110701752,61400000.0,0.014255114776339,6003085.308710512,0.0046934377769344
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,33735459.761828214,1170.6698171656092,151900000.0,0.014686992550871,0.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,59108342.638538405,973.3346334860256,92100000.0,0.0116806697050324,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,94621749.05002823,1531.7347328428275,0.0,0.0210678353802583,11298761.888071924,0.009089448785133
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7332080.219521779,2361.9072979285334,213300000.0,0.0424054807157736,35538667.74065087,0.0266743019072736
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,31530112.67088316,1029.5142788490682,182600000.0,0.0123856193058541,0.0,0.0
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24198032.45136138,0.0,394300000.0,0.0239066110692013,0.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,61313689.729483455,0.0,61400000.0,0.0236040050436663,0.0,0.0
0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1919.9569025177368,334500000.0,0.0354297964774223,34499068.97097463,0.0255124068017402
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,57761393.93814641,1031.9216762529857,151900000.0,0.0130971820537987,0.0,0.0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,32724179.85197268,1199.1392942798002,151900000.0,0.0148452000033827,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26403379.54230644,1299.6853305325849,121200000.0,0.0168800392499266,0.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25578.973043893748,30700000.0,0.155081859130184,484607316.6465926,0.1481564436681965
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2358.67106600287,303800000.0,0.049985067252752,54560176.66829434,0.0408410492412865
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,32724179.85197268,0.0,273100000.0,0.0237243647592414,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,57761393.93814641,0.0,30700000.0,0.0480048923816631,0.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9437.929225037293,92100000.0,0.0212239807809024,36175043.95515448,0.0091298475751969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22167818.198803756,7678.805667666404,0.0,0.189515499999972,213642454.93978167,0.1653025842318218
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7332080.219521779,4653.0863582275415,182600000.0,0.025842607726491,69653074.0681595,0.0216097740722869
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,3,0,2,0,0,105675557.33473895,856.8598654432094,0.0,0.0099466200595684,0.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,92100000.0,0.1768665065075202,36175043.95515448,0.0760820631266413
