epsilon_progress,nfe
0,0
3,100
133,1197
326,2293
497,3383
658,4474
799,5565
910,6659
1005,7758
1085,8851
1147,9942
1272,10974
1360,12002
1446,13034
1513,14068
1564,15086
1614,16111
1664,17131
1756,18146
1791,19161
1824,20175
1843,21191
1871,22210
1900,23237
1917,24254
1937,25278
2014,26299
2035,27319
2056,28337
2076,29362
2092,30383
2108,31402
2128,32427
2140,33452
2150,34480
2161,35509
2176,36534
2189,37561
2201,38588
2208,39619
2224,40642
2234,41671
2239,42700
2244,43730
2250,44755
2263,45786
2273,46811
2281,47845
2282,48875
2290,49904
2295,50937
