A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
57.0,155.48816515519212,1.0,0.6897832661024348,295.27786112421006,2.0,0.0736636753464251,162.88347114423317,0.0,0.42562786897833754,322.6811043606009,1.0,0.6811631322370566,91.66641003957064,2.0,0.9442919250941529,3.0,2.0,1.0
41.0,339.08657169800625,1.0,0.6275419063751319,90.25713412503828,1.0,0.17491549502101125,140.21492552736456,2.0,0.5812078746149788,101.11226781102789,0.0,0.19696064563716909,218.74515665394335,1.0,0.03157927629918922,1.0,3.0,0.0
129.0,135.07887386975707,2.0,0.2922988757828704,272.95479802341043,1.0,0.9411901762593632,112.03871016114886,2.0,0.7847469407879615,199.76003707920938,0.0,0.5796861257673006,89.44202665305893,2.0,0.9292294536829523,2.0,0.0,3.0
74.0,348.4743261457437,2.0,0.1960934692210374,148.1327473685762,2.0,0.393857202529062,224.02491711854384,2.0,0.8219889531611644,221.77845075384823,2.0,0.07596666307482308,204.24414755160157,2.0,0.8335912401500943,2.0,1.0,0.0
6.0,41.24063534674832,0.0,0.8015432131708776,290.8878175688914,1.0,0.8915611165191397,194.90399884933484,1.0,0.7040567547982547,131.17103098063936,2.0,0.7813040702324348,274.7856996985869,2.0,0.9036012168155664,1.0,1.0,3.0
122.0,271.13214945929224,1.0,0.9983332740105202,45.647219554578605,1.0,0.24594880458106885,336.3963415535744,0.0,0.7705075965091488,114.93977291422445,0.0,0.8404434080826992,309.6283938633418,0.0,0.08356393998614695,0.0,1.0,2.0
14.0,90.97527625805265,0.0,0.8954231079212376,163.4939334844365,1.0,0.3340273191648085,313.15902025144703,2.0,0.7442359115224527,33.07943536159868,0.0,0.004890890980923578,157.8559197457963,1.0,0.5498520696640651,0.0,1.0,2.0
51.0,94.89284811561191,0.0,0.9660114022881787,237.6014441343017,0.0,0.9809882709776329,191.09756704130592,0.0,0.6313655615336681,236.5562409786264,1.0,0.646259123971319,312.6491145821983,0.0,0.7511307754759755,1.0,3.0,3.0
114.0,275.5873086175602,1.0,0.23655049282170496,153.97718010438723,2.0,0.6039329033923602,56.24488660778957,2.0,0.059495883660819184,158.92184525178936,2.0,0.1816201926237117,145.50329878638195,1.0,0.0161417576622784,0.0,2.0,1.0
65.0,127.09048171767195,0.0,0.24709794227240067,335.16113364733013,0.0,0.27458551061253306,123.42304155455037,1.0,0.8542854222072157,127.36403391399777,2.0,0.6950677197469085,158.95702416633387,0.0,0.6515611594664692,0.0,0.0,2.0
40.0,148.16321236300394,1.0,0.7911010771355548,138.67186519353362,1.0,0.6930866368399107,301.8688915161335,0.0,0.8329462996132218,180.67782471443866,0.0,0.5160085276250593,241.3480335224611,0.0,0.6618333806515443,3.0,2.0,2.0
112.0,324.8289165063168,2.0,0.2106981402933269,301.60824781103656,1.0,0.4572987706013917,248.29502015181708,0.0,0.4396242886259598,191.35034408947865,2.0,0.0833620502005255,30.865067679068687,0.0,0.639159625260608,3.0,2.0,2.0
67.0,217.24451942538266,2.0,0.1729452841454331,199.3356511278742,1.0,0.3278267836651682,236.29543448587555,1.0,0.966221691182714,302.3593405299419,0.0,0.5902036581148704,296.18449413517396,1.0,0.8728743437250573,1.0,0.0,1.0
9.0,285.3048036889612,0.0,0.6437007675524576,206.86319514248726,2.0,0.4654540925488313,39.96609710908277,1.0,0.40334353624751285,343.9370648206679,1.0,0.8937501632524789,164.78828620028767,0.0,0.19226382576829684,3.0,1.0,2.0
59.0,81.52955133376436,2.0,0.5368411515494649,54.9249278412225,1.0,0.8138717159485913,282.1014242420373,0.0,0.44708130084286696,108.81190680692892,1.0,0.169064512163237,219.3570740544207,0.0,0.07914673431676592,0.0,3.0,1.0
45.0,237.8275182850135,0.0,0.1350794057292537,123.64132888560772,0.0,0.37540486709717624,115.0784142632273,0.0,0.23183704854845105,265.16727172133665,1.0,0.7158411284251194,224.64157607390052,1.0,0.5675600841835516,0.0,2.0,0.0
