A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
81.0,109.50737923983219,2.0,0.8224863932000138,182.38861436910105,2.0,0.6839959798474328,193.92104757806442,1.0,0.45316134371984146,34.552618498944895,0.0,0.7464111146620181,241.53996977060925,0.0,0.16205970391364055,1.0,3.0,2.0
110.0,179.36012303956,0.0,0.710486828526788,222.38604494691953,0.0,0.7866175500037009,145.64589237405983,0.0,0.7509976076237485,97.43253977990234,0.0,0.10993205073642182,334.32848959094355,1.0,0.08548679882977225,1.0,3.0,1.0
101.0,66.64822559144497,0.0,0.13216907430352393,216.16855585394478,2.0,0.24396014283970738,249.66074453816972,2.0,0.059222714732242734,170.64761305181167,0.0,0.4049274750338452,149.1206044681246,2.0,0.7965845910010787,0.0,1.0,2.0
60.0,146.17789278468803,1.0,0.9561807884092746,278.31138669757627,1.0,0.14818311021818512,321.7516450491567,2.0,0.9239359449444933,267.22717140795186,1.0,0.674976547684572,114.84617281330725,2.0,0.4484957494726286,2.0,0.0,3.0
0.0,302.8434361915617,1.0,0.6785180789456843,294.14927230456715,0.0,0.07685204575139164,286.81125186316285,2.0,0.33488157483687003,287.789365822532,2.0,0.5145012772702201,40.65549734918416,2.0,0.5498420885575792,3.0,0.0,3.0
41.0,282.54661984310985,2.0,0.23748337588931057,143.31771817834334,0.0,0.9304274225094451,93.97947868980427,0.0,0.6869502969840531,334.5067288610034,1.0,0.39657291592316607,218.71628748862344,1.0,0.31196433539506985,3.0,2.0,0.0
33.0,241.65371088290473,2.0,0.40689196475858763,337.38755241430994,2.0,0.5055851460825775,102.03677171683493,2.0,0.896378002493809,235.47555723272956,0.0,0.8915666692817557,268.4129511928614,0.0,0.9735786138645574,3.0,3.0,3.0
19.0,60.846834861435575,0.0,0.544652833702824,57.10342060060387,0.0,0.4896766016394693,50.587618543408674,0.0,0.5294442441098006,66.49944771365423,2.0,0.2575035054162045,295.6471422230766,0.0,0.6317938580276579,0.0,2.0,1.0
126.0,325.174270916177,2.0,0.044255358169586895,113.71657427627329,1.0,0.3482265819828057,178.5671561767061,0.0,0.2483877724239079,196.31782637694414,1.0,0.9076099471763439,62.503824533486224,1.0,0.8207588206248333,2.0,0.0,0.0
79.0,199.42017540543787,1.0,0.30056996588017754,77.167203916747,1.0,0.877390842173971,269.8062765513128,1.0,0.12446517253941713,139.27439298299964,2.0,0.005095982260169708,161.83259095920718,0.0,0.23110698629523063,1.0,1.0,1.0
